_key,id,label,now_price,old_price,brand,currency,description,link
94884,94884,Điện thoại Samsung Galaxy A21s 3GB/32GB Đen,3690000,4690000,Samsung,VND,"<p>Màn hình vô cực 6.5"" HD+ trải nghiệm hình ảnh sống động</p><p>Bộ 4 camera sau đến 48MP trải nghiệm chụp ảnh đa dạng</p><p>Camera trước 13MP chụp selfie đẹp tự nhiên và rõ nét</p><p>Bảo mật vân tay, nhận diện khuôn mặt nhanh, chính xác</p><p>Dung lượng pin cực lớn 5000mAh, hỗ trợ sạc nhanh 15W</p><p>Bộ vi xử lý 8 nhân, RAM 3GB cho hiệu năng mượt mà ổn định</p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a21s-den.html
94889,94889,Điện thoại Samsung Galaxy A21s 3GB/32GB Trắng,3690000,4690000,Samsung,VND,"<p>Màn hình vô cực 6.5"" HD+ trải nghiệm hình ảnh sống động </p><p>Bộ 4 camera sau đến 48MP cho trải nghiệm chụp đa dạng</p><p>Camera trước 13MP selfie ấn tượng với độ phân giải cao</p><p>Bảo mật vân tay, nhận diện khuôn mặt nhanh và chính xác </p><p>Dung lượng pin lớn 5000mAh, hỗ trợ sạc nhanh 15W</p><p>Bộ vi xử lý 8 nhân, RAM 3GB cho hiệu năng mượt mà ổn định</p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a21s-trang.html
95115,95115,Điện thoại Vivo Y30 4GB/128GB Trắng,3790000,4490000,Vivo,VND,"<p>Màn hình nốt ruồi 6.47 inch trải nghiệm thị giác hoàn mỹ</p><p>Pin siêu khủng 5000mAh cho thời gian sử dụng cả ngày dài</p><p>Bộ 4 camera sau AI nâng tầm trải nghiệm nhiếp ảnh</p><p>Cảm biến vân tay ở mặt lưng mở khóa nhanh, chính xác</p><p>Chế độ bảo vệ mắt, giảm ánh sáng xanh, không lo mỏi mắt</p><p>Tích hợp công nghệ Multi Turbo 3.0 hạn chế giật lag khung hình</p><p>Chế độ Ultra Game Mode 8.0 chơi game mượt mà, trơn tru</p>",https://www.nguyenkim.com/dien-thoai-vivo-y30-trang.html
95130,95130,Điện thoại Vivo Y30 4GB/128GB Xanh Dương,3790000,4490000,Vivo,VND,"<p>Màn hình nốt ruồi 6.47 inch trải nghiệm thị giác hoàn mỹ</p><p>Pin siêu khủng 5000mAh cho thời gian sử dụng cả ngày dài</p><p>Bộ 4 camera sau AI nâng tầm trải nghiệm nhiếp ảnh</p><p>Cảm biến vân tay ở mặt lưng mở khóa nhanh, chính xác</p><p>Chế độ bảo vệ mắt, giảm ánh sáng xanh, không lo mỏi mắt</p><p>Tích hợp công nghệ Multi Turbo 3.0 hạn chế giật lag khung hình</p><p>Chế độ Ultra Game Mode 8.0 chơi game mượt mà, trơn tru</p>",https://www.nguyenkim.com/dien-thoai-vivo-y30-xanh-duong.html
95161,95161,Điện thoại OPPO A92 Đen,5990000,6490000,OPPO,VND,"<p>Pin 5000mAh, hỗ trợ sạc siêu nhanh 18W trải nghiệm liên tục</p><p>Màn hình tràn viền thiết kế chấm O hiển thị sắc nét, mượt mà</p><p>4 camera AI đến 48 MP quay video 4K, chụp đêm sắc nét</p><p>Mở khóa vân tay tích hợp cạnh bên thao tác nhanh, tiện lợi</p><p>Trang bị loa stereo kép cho âm thanh sống động như thật</p>",https://www.nguyenkim.com/dien-thoai-oppo-a92-den.html
95656,95656,Điện thoại Vivo Y11 Xanh Ngọc Trai,2790000,2990000,Vivo,VND,"<p>Màn hình tràn Halo 6.35 inch góc nhìn rộng, đẹp mắt</p><p>AI Face Beauty camera trước 8MP selfie đẹp tự nhiên</p><p>Camera sau kép AI 13MP, 2MP cho ra bức ảnh ấn tượng</p><p>Dung lượng pin khủng 5000mAh thỏa thích sử dụng</p><p>Mở khóa vân tay mặt lưng nhanh chóng, an toàn</p><p>Bộ vi xử lý Snapdragon 439 cho trải nghiệm mượt mà</p>",https://www.nguyenkim.com/dien-thoai-vivo-y11-xanh-ngoc-trai.html
95671,95671,Điện thoại Vivo U10 Xanh Huỳnh Quang,2990000,3790000,Vivo,VND,"<p>Màn hình tràn Halo 6.35 inch cho góc nhìn rộng, đẹp mắt</p><p>Dung lượng pin khủng 5000mAh, thời gian sử dụng lâu</p><p>Trang bị công nghệ sạt kép siêu nhanh 18W độc quyền của vivo</p><p>Bộ vi xử lý Snapdragon 665 AIE 8 nhân, vận hành mượt mà</p><p>Bộ 3 camera sau AI 13MP, 8MP, 2MP cho những bức ảnh ấn tượng</p><p>Camera trước 8MP, tạo ra những bức ảnh selfie tự nhiên</p><p>Mở khóa bằng vân tay và nhận diện khuôn mặt tiện lợi</p>",https://www.nguyenkim.com/dien-thoai-vivo-u10-xanh-huynh-quang.html
96814,96814,Điện thoại Realme 6i Trắng sữa,3493000,4990000,Realme,VND,"<p>Realme 6i có thiết kế tinh tế với gam màu trắng sữa thu hút</p><p>Dung lượng bộ nhớ hoàn hảo cho nhu cầu sử dụng thông thường</p><p>Chất lượng phân giải chuẩn của camera cho ảnh chụp hoàn hảo</p><p>Màn hình giọt nước tạo trải nghiệm xem nhìn hoàn hảo</p><p>Màn hình 6.5 inch HD+ với công nghệ chống chói tiên tiến</p><p>Dung lượng pin lớn nâng cấp khả năng hoạt động lâu dài</p><p>Trang bị Wifi tốc độ cao cùng với Bluetooth 5.0 hiện đại</p><p>Kiểu dáng thời thượng, khẳng định phong cách của bạn</p>",https://www.nguyenkim.com/dien-thoai-realme-6i-trang-sua.html
96936,96936,Điện thoại iPhone 11 Pro Max 256GB Xám,28990000,34990000,Apple,VND,"<p>Chip A13 Bionic, <strong><a href=""https://www.nguyenkim.com/khong-phai-ai-cung-biet-nhung-tinh-nang-an-tren-ios-13.html"" target=""_blank"" rel=""noopener noreferrer"">hệ điều hành IOS 13</a></strong> kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 256GB cho khả năng đa nhiệm rất tốt</p><p><strong><a href=""https://www.nguyenkim.com/cum-camera-cua-iphone-11-pro-duoc-gioi-nhiep-anh-gia-khen-khong-tiec-loi.html"" target=""_blank"" rel=""noopener noreferrer"">Cụm 3 camera</a></strong> 12 MP góc chụp siêu rộng, chụp đêm tốt</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Màn hình OLED 6.5 inch Super Retina XDR hiển thị cực sắc nét</p><p>Pin chuẩn Li-Ion, dung lượng pin lớn, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-pro-max-256gb-xam.html
96946,96946,Điện thoại iPhone 11 Pro Max 256GB Xanh lá,28990000,34990000,Apple,VND,"<p>Màn hình OLED 6.5 inch Super Retina XDR hiển thị cực sắc nét</p><p>Chip A13 Bionic, hệ điều hành IOS 13 kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 256GB cho khả năng đa nhiệm rất tốt</p><p>Cụm 3 camera 12 MP góc chụp siêu rộng, chụp đêm tốt</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Pin chuẩn Li-Ion, dung lượng pin lớn, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-pro-max-256gb-xanh-la.html
96954,96954,Điện thoại iPhone SE 64GB Đen (2020),9490000,12990000,Apple,VND,"<p>Thiết kế điện thoại gọn nhẹ với màn hình 4.7 inch </p><p>Màn hình LCD Retina HD và True Tone cho hình ảnh sắc nét</p><p>Sử dụng chip A13 Bionic mang lại cấu hình mạnh mẽ</p><p>Camera sau 12MP cho chất lượng ảnh sắc nét vừa đủ</p><p>Hỗ trợ chuẩn Wi-Fi 6, Bluetooth 5.0, 4G LTE và 2 SIM</p><p>Cảm biến vân tay Touch ID, mở khóa nhanh chóng</p>",https://www.nguyenkim.com/dien-thoai-iphone-se-64gb-den-2020.html
96956,96956,Điện thoại iPhone SE 64GB Trắng (2020),9490000,12990000,Apple,VND,"<p>Thiết kế điện thoại gọn nhẹ với màn hình 4.7 inch</p><p>Màn hình LCD Retina HD và True Tone cho hình ảnh sắc nét</p><p>Sử dụng chip A13 Bionic mang lại cấu hình mạnh mẽ</p><p>Camera sau 12MP cho chất lượng ảnh sắc nét vừa đủ</p><p>Hỗ trợ chuẩn Wi-Fi 6, Bluetooth 5.0, 4G LTE và 2 SIM</p><p>Cảm biến vân tay Touch ID, mở khóa nhanh chóng</p>",https://www.nguyenkim.com/dien-thoai-iphone-se-64gb-trang-2020.html
96961,96961,Điện thoại iPhone SE 64GB Đỏ (2020),9490000,12990000,Apple,VND,"<p>Điện thoại sở hữu thiết kế gọn nhẹ với màn hình 4.7 inch </p><p>Màn hình LCD Retina HD và True Tone cho hình ảnh sắc nét</p><p>Sử dụng chip A13 Bionic mang lại cấu hình mạnh mẽ</p><p>Camera sau 12MP cho chất lượng ảnh sắc nét vừa đủ</p><p>Hỗ trợ chuẩn Wi-Fi 6, Bluetooth 5.0, 4G LTE và 2 SIM</p><p>Cảm biến vân tay Touch ID, mở khóa nhanh chóng</p>",https://www.nguyenkim.com/dien-thoai-iphone-se-64gb-do-2020.html
